통계연도,시도명,시군구명,노령화지수(퍼센트),고령인구(65세 이상),유소년(14세 이하),총인구수(명)
2017,광주광역시,동구,216.9,20047,9243,95448
2017,광주광역시,서구,87.6,36991,42246,306957
2017,광주광역시,남구,114.1,33727,29568,218454
2017,광주광역시,북구,96.0,56532,58869,438780
2017,광주광역시,광산구,45.4,33565,74009,404131
2017,대전광역시,동구,130.8,37240,28479,230516
2017,대전광역시,중구,132.2,40354,30533,248933
2017,대전광역시,서구,75.8,51821,68322,487448
2017,대전광역시,유성구,46.2,27420,59319,348428
2017,대전광역시,대덕구,103.9,23832,22942,186902
2017,울산광역시,중구,89.1,27853,31274,238652
2017,울산광역시,남구,73.8,31629,42848,335439
2017,울산광역시,동구,59.0,15672,26567,169605
2017,울산광역시,북구,39.4,14053,35638,200718
2017,울산광역시,울주군,86.5,27426,31705,220718
2017,경기도,수원시,64.3,111667,173571,1202628
2017,경기도,장안구,81.1,32021,39475,293828
2017,경기도,권선구,63.9,33705,52779,365653
2017,경기도,팔달구,119.4,24920,20876,193311
2017,경기도,영통구,34.8,21021,60441,349836
2017,경기도,성남시,92.9,115526,124415,967510
2017,경기도,수정구,124.0,32125,25917,236932
2017,경기도,중원구,116.6,29970,25702,230366
2017,경기도,분당구,73.4,53431,72796,500212
2017,경기도,의정부시,103.1,58509,56765,441584
2017,경기도,안양시,86.6,64655,74630,587764
2017,경기도,만안구,113.8,32509,28565,254977
2017,경기도,동안구,69.8,32146,46065,332787
2017,경기도,부천시,88.4,92537,104697,850329
2017,경기도,광명시,81.4,38321,47096,332790
2017,경기도,평택시,77.8,55926,71844,481530
2017,경기도,동두천시,135.3,16961,12532,97071
2017,경기도,안산시,68.9,60087,87177,677710
2017,경기도,상록구,73.1,34339,47000,370744
2017,경기도,단원구,64.1,25748,40177,306966
2017,경기도,고양시,85.9,120333,140028,1041983
2017,경기도,덕양구,95.9,57446,59922,448684
2017,경기도,일산동구,83.0,30956,37299,293673
2017,경기도,일산서구,74.6,31931,42807,299626
2017,경기도,과천시,99.3,7474,7528,57527
2017,경기도,구리시,83.4,22362,26806,200042
2017,경기도,남양주시,78.4,81688,104179,665321
2017,경기도,오산시,44.7,17373,38833,213437
2017,경기도,시흥시,55.3,34511,62421,419664
2017,경기도,군포시,76.2,30278,39729,281205
2017,경기도,의왕시,90.1,18198,20206,155767
2017,경기도,하남시,74.1,26820,36183,232487
